PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,H2-10 bar (mol/kg)
11.24577,11.69348,1878.98999,0.61793,4.06E-07,57.14285714,35.71428571,7.142857143,0,0,0,0,0.398613503
17.10247,17.40166,931.42102,0.52413,2.53E-07,51.35135135,40.54054054,8.108108108,0,0,0,0,0.246898911
22.83776,23.86923,6042.70996,0.85985,1.64E-06,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,1.568703912
25.24985,25.75558,3938.86011,0.84708,1.34E-06,54.375,36.875,5,0,0,0,3.75,1.331771887
23.81541,24.06097,1836.46997,0.72,6.20E-07,61.11111111,33.33333333,5.555555556,0,0,0,0,0.605605778
32.05735,32.23261,1982.25,0.77406,8.21E-07,60.86956522,34.7826087,4.347826087,0,0,0,0,0.805648709
16.88399,17.68947,4052.83008,0.814,1.12E-06,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,1.097379591
38.02857,38.18265,2431.3999,0.82078,1.09E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,1.080584238
38.73254,38.88757,2576.98999,0.84211,1.20E-06,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,1.184221259
37.57103,37.65768,3115.06006,0.85471,1.34E-06,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,1.330698066
26.35383,26.54457,2087.62012,0.7667,7.35E-07,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,0.726203314
25.82308,26.05354,2080.82007,0.77613,7.76E-07,50,33.33333333,11.11111111,5.555555556,0,0,0,0.742410322
38.80415,38.87484,2615.83008,0.80107,1.02E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,0.988292037
12.63935,13.00429,1703.72998,0.64686,4.40E-07,52,28,12,8,0,0,0,0.431257987
19.01342,19.17629,2136.29004,0.73683,6.70E-07,47.5,35,10,7.5,0,0,0,0.658309291
27.09753,27.20541,2185.05005,0.788,8.45E-07,47.5,35,10,5,0,0,2.5,0.835913172
38.96494,39.10948,2624.19995,0.83403,1.19E-06,54.16666667,37.5,8.333333333,0,0,0,0,1.175911365
25.97309,26.2053,2390.20996,0.76615,8.29E-07,56,40,4,0,0,0,0,0.815673163
21.23209,21.48076,2268.12988,0.77195,7.52E-07,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,0.742680236
23.07197,23.97178,5086.93994,0.85531,1.67E-06,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,1.601564696
10.6711,11.55953,1070.43005,0.57033,3.01E-07,54.54545455,39.39393939,6.060606061,0,0,0,0,0.291980341
