PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KCO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,CO2-1bar (mol/kg)
9.73082,11.35144,3488.17,0.71632,6.98E-05,56.98924731,36.55913978,6.451612903,0,0,0,0,4.556088753
8.981,9.50439,1091.97,0.50322,9.95E-06,50,37.5,6.25,0,6.25,0,0,1.156762569
15.93388,16.0767,2731.74,0.72326,1.58E-05,56.06060606,36.36363636,7.575757576,0,0,0,0,1.270468178
15.87921,16.17243,1425.81,0.62994,8.85E-06,56.52173913,26.08695652,4.347826087,8.695652174,4.347826087,0,0,0.935955551
35.2441,35.39294,1897.75,0.79356,6.94E-06,53.57142857,32.14285714,3.571428571,7.142857143,3.571428571,0,0,0.700917917
32.73607,32.90312,1910.99,0.78096,7.78E-06,51.61290323,35.48387097,3.225806452,6.451612903,3.225806452,0,0,0.796442013
8.53533,9.02441,928.833,0.4902,1.21E-05,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,1.372395398
8.54051,9.02697,907.124,0.48356,1.24E-05,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,1.43162094
10.6911,11.33366,1450.41,0.57354,1.10E-05,47.6635514,47.6635514,3.738317757,0,0.934579439,0,0,1.056603111
34.44668,34.61497,1924.91,0.79376,7.34E-06,55.17241379,34.48275862,0,6.896551724,3.448275862,0,0,0.764690498
22.28222,22.52993,1811.83,0.73536,5.79E-06,57.14285714,28.57142857,7.142857143,0,0,0,7.142857143,0.583892866
29.34631,29.53268,1927.96,0.77516,6.13E-06,57.89473684,31.57894737,5.263157895,0,0,0,5.263157895,0.624848574
14.50589,14.87005,1498.63,0.64632,6.18E-06,59.09090909,31.81818182,4.545454545,0,0,0,4.545454545,0.653069879
15.39744,15.74056,1641.19,0.67062,5.15E-06,57.14285714,28.57142857,9.523809524,0,0,0,4.761904762,0.525863603
34.82461,34.97956,1866.35,0.79366,6.81E-06,56.52173913,26.08695652,0,13.04347826,4.347826087,0,0,0.713334724
15.76522,16.06665,2164.64,0.71522,7.19E-06,48.7804878,34.14634146,14.63414634,0,0,0,2.43902439,0.684442213
7.84341,8.45883,1393.3,0.56732,1.57E-05,58.69565217,34.7826087,6.52173913,0,0,0,0,1.640828011
7.98521,9.86309,3946.15,0.72614,2.25E-05,51.2605042,42.01680672,3.361344538,3.361344538,0,0,0,2.163189168
18.49772,23.03655,8580.7,0.9386,8.89E-06,53.4591195,41.50943396,2.51572327,2.51572327,0,0,0,0.900743323
5.02763,5.77387,1101.82,0.57018,3.92E-05,52.63157895,40.35087719,3.50877193,3.50877193,0,0,0,2.993313953
5.05599,5.65179,607.027,0.55358,7.53E-05,50.84745763,38.98305085,3.389830508,6.779661017,0,0,0,4.130136239
23.44472,23.68264,1927.91,0.73568,7.19E-06,52.94117647,35.29411765,5.882352941,5.882352941,0,0,0,0.693742491
21.65111,21.90241,1667.04,0.69412,6.30E-06,50,40,5,5,0,0,0,0.613086363
