PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KN2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,N2-10 bar (mol/kg)
21.65111,21.90241,1667.04,0.69412,1.72E-06,50,40,5,5,0,0,0,1.539891852
14.56137,14.80414,1601.61,0.65458,1.51E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,1.323497938
10.9469,11.39779,1390.45,0.58732,1.90E-06,55,35,5,5,0,0,0,1.578126086
7.16556,9.34656,4266.05,0.7499,7.41E-06,56.60377358,35.8490566,5.031446541,2.51572327,0,0,0,4.508619104
18.84768,19.35841,2221.59,0.75284,1.74E-06,56.25,31.25,3.125,0,0,9.375,0,1.596099749
18.58985,19.00793,1891.19,0.72758,1.38E-06,54.83870968,29.03225806,6.451612903,0,0,9.677419355,0,1.268433251
31.34049,31.52027,1938.68,0.7794,1.89E-06,57.14285714,28.57142857,0,9.523809524,4.761904762,0,0,1.749639525
8.50466,9.68318,5308.23,0.79852,3.61E-06,48.97959184,32.65306122,0,8.163265306,10.20408163,0,0,3.372700437
19.05082,27.47264,6351.38,0.9169,4.45E-06,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,4.316878297
24.20917,24.5783,2109.22,0.73274,2.16E-06,56.75675676,32.43243243,0,10.81081081,0,0,0,1.88504365
7.6513,8.38327,513.384,0.53882,3.31E-07,42.10526316,42.10526316,0,10.52631579,5.263157895,0,0,0.29594574
37.54961,37.74057,2647.6,0.83454,2.22E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,2.092476166
34.3979,34.55962,2449.5,0.82182,2.13E-06,57.69230769,34.61538462,0,7.692307692,0,0,0,1.981603992
55.44839,55.49799,2371.05,0.86226,2.49E-06,57.14285714,38.7755102,0,4.081632653,0,0,0,2.340340555
9.79296,10.47702,1277.65,0.58932,5.15E-07,43.75,37.5,0,12.5,6.25,0,0,0.491485965
12.22497,12.7233,1965.68,0.6377,1.55E-06,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,1.382974997
