PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,O2-5 bar (mol/kg)
13.84176,14.11905,1836.85,0.6642,1.57E-06,59.52380952,35.71428571,4.761904762,0,0,0,0,0.761434615
29.88783,30.08263,1741.96,0.7759,2.00E-06,57.89473684,21.05263158,0,10.52631579,5.263157895,0,5.263157895,0.966129998
31.38514,31.68082,2277.34,0.77402,2.32E-06,58.13953488,32.55813953,4.651162791,0,0,0,4.651162791,1.074777844
23.42764,23.68646,1782.64,0.72634,2.26E-06,50,30.76923077,0,11.53846154,3.846153846,0,3.846153846,1.047428311
7.49194,8.42477,5204.86,0.77266,3.83E-06,47.82608696,43.47826087,8.695652174,0,0,0,0,1.871191087
7.37376,8.49886,4304.48,0.7488,3.71E-06,44,40,8,8,0,0,0,1.784396903
31.32681,31.50293,2056.26,0.73294,1.77E-06,56.98924731,36.55913978,6.451612903,0,0,0,0,0.839239004
9.73082,11.35144,3488.17,0.71632,4.87E-06,56.98924731,36.55913978,6.451612903,0,0,0,0,2.190386864
8.981,9.50439,1091.97,0.50322,1.81E-06,50,37.5,6.25,0,6.25,0,0,0.82125259
15.93388,16.0767,2731.74,0.72326,2.37E-06,56.06060606,36.36363636,7.575757576,0,0,0,0,1.07136726
15.87921,16.17243,1425.81,0.62994,1.74E-06,56.52173913,26.08695652,4.347826087,8.695652174,4.347826087,0,0,0.822749306
35.2441,35.39294,1897.75,0.79356,1.98E-06,53.57142857,32.14285714,3.571428571,7.142857143,3.571428571,0,0,0.966440107
32.73607,32.90312,1910.99,0.78096,2.07E-06,51.61290323,35.48387097,3.225806452,6.451612903,3.225806452,0,0,1.010236633
8.53533,9.02441,928.833,0.4902,1.85E-06,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,0.81007275
8.54051,9.02697,907.124,0.48356,1.85E-06,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,0.824183204
10.6911,11.33366,1450.41,0.57354,2.04E-06,47.6635514,47.6635514,3.738317757,0,0.934579439,0,0,0.925321566
34.44668,34.61497,1924.91,0.79376,1.98E-06,55.17241379,34.48275862,0,6.896551724,3.448275862,0,0,0.968891341
22.28222,22.52993,1811.83,0.73536,1.77E-06,57.14285714,28.57142857,7.142857143,0,0,0,7.142857143,0.836851882
29.34631,29.53268,1927.96,0.77516,1.96E-06,57.89473684,31.57894737,5.263157895,0,0,0,5.263157895,0.953772321
14.50589,14.87005,1498.63,0.64632,1.67E-06,59.09090909,31.81818182,4.545454545,0,0,0,4.545454545,0.804655238
15.39744,15.74056,1641.19,0.67062,1.52E-06,57.14285714,28.57142857,9.523809524,0,0,0,4.761904762,0.738286772
34.82461,34.97956,1866.35,0.79366,1.96E-06,56.52173913,26.08695652,0,13.04347826,4.347826087,0,0,0.960586051
15.76522,16.06665,2164.64,0.71522,1.92E-06,48.7804878,34.14634146,14.63414634,0,0,0,2.43902439,0.889012533
7.84341,8.45883,1393.3,0.56732,2.52E-06,58.69565217,34.7826087,6.52173913,0,0,0,0,1.104708006
7.98521,9.86309,3946.15,0.72614,3.97E-06,51.2605042,42.01680672,3.361344538,3.361344538,0,0,0,1.809869101
18.49772,23.03655,8580.7,0.9386,5.24E-06,53.4591195,41.50943396,2.51572327,2.51572327,0,0,0,2.627020506
5.02763,5.77387,1101.82,0.57018,3.73E-06,52.63157895,40.35087719,3.50877193,3.50877193,0,0,0,1.496793198
5.05599,5.65179,607.027,0.55358,5.14E-06,50.84745763,38.98305085,3.389830508,6.779661017,0,0,0,1.924533208
23.44472,23.68264,1927.91,0.73568,1.72E-06,52.94117647,35.29411765,5.882352941,5.882352941,0,0,0,0.815116194
21.65111,21.90241,1667.04,0.69412,1.72E-06,50,40,5,5,0,0,0,0.803095618
14.56137,14.80414,1601.61,0.65458,1.47E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,0.71196366
