PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal
10.42171,13.77683,6314.27,0.8241,1.35E-06,60,36.66666667,0,3.333333333,0,0,0
16.16263,20.50523,7333.05,0.88498,1.98E-06,60,36.66666667,0,3.333333333,0,0,0
23.97291,30.32334,7509.24,0.93276,3.27E-06,60,36.66666667,0,3.333333333,0,0,0
16.84781,22.31375,6218.4,0.86684,1.71E-06,60,36.66666667,0,3.333333333,0,0,0
14.09283,20.07078,7632.89,0.90962,2.50E-06,60,36.66666667,0,3.333333333,0,0,0
11.94992,12.48229,6605.88,0.82136,1.32E-06,60,36.66666667,0,3.333333333,0,0,0
17.00824,22.0397,5670.37,0.88296,1.83E-06,57.14285714,33.33333333,0,9.523809524,0,0,0
9.21114,11.09236,4599.37,0.76748,9.83E-07,57.14285714,33.33333333,0,9.523809524,0,0,0
10.11589,15.08265,6141.26,0.84608,1.41E-06,57.14285714,33.33333333,0,9.523809524,0,0,0
30.43088,30.99144,5894.75,0.87824,1.72E-06,57.14285714,33.33333333,0,9.523809524,0,0,0
7.12545,8.3515,5171.3,0.7471,1.01E-06,57.14285714,33.33333333,0,9.523809524,0,0,0
4.95881,6.06187,852.929,0.56518,4.05E-07,57.14285714,33.33333333,0,9.523809524,0,0,0
9.8917,13.47683,4741.19,0.78716,1.04E-06,57.14285714,33.33333333,0,9.523809524,0,0,0
26.42519,32.02298,7428.49,0.93168,3.27E-06,55.55555556,41.66666667,0,2.777777778,0,0,0
15.51299,18.61146,7155.7,0.86186,1.71E-06,55.55555556,41.66666667,0,2.777777778,0,0,0
15.652,16.91549,7544.96,0.90578,2.34E-06,55.55555556,41.66666667,0,2.777777778,0,0,0
9.45494,12.16777,6783.97,0.80854,1.26E-06,55.55555556,41.66666667,0,2.777777778,0,0,0
19.60805,25.6927,7513.32,0.92064,2.80E-06,55.55555556,41.66666667,0,2.777777778,0,0,0
45.40596,46.28905,7528.63,0.93326,3.29E-06,55.55555556,41.66666667,0,2.777777778,0,0,0
19.00798,20.36852,7092.05,0.8339,1.46E-06,55.55555556,41.66666667,0,2.777777778,0,0,0
11.10073,18.13585,6848.09,0.84648,1.52E-06,55.55555556,41.66666667,0,2.777777778,0,0,0
26.60749,38.66558,7385.31,0.92856,3.07E-06,55.55555556,41.66666667,0,2.777777778,0,0,0
21.92461,47.16735,7119.33,0.93122,3.21E-06,55.55555556,41.66666667,0,2.777777778,0,0,0
24.75927,27.73744,7270.62,0.93342,3.30E-06,55.55555556,41.66666667,0,2.777777778,0,0,0
13.20431,18.09255,7199.72,0.86882,1.74E-06,55.55555556,41.66666667,0,2.777777778,0,0,0
22.8425,28.2092,7495.49,0.92206,2.87E-06,55.55555556,41.66666667,0,2.777777778,0,0,0
25.71104,32.06726,7422.13,0.922,2.92E-06,52.38095238,45.23809524,0,2.380952381,0,0,0
19.69893,26.01282,7507,0.91052,2.49E-06,52.38095238,45.23809524,0,2.380952381,0,0,0
19.04569,20.23798,5457.14,0.81424,1.22E-06,52.38095238,45.23809524,0,2.380952381,0,0,0
21.52866,26.0172,6889.02,0.91432,2.59E-06,52.38095238,45.23809524,0,2.380952381,0,0,0
15.97914,16.95251,7497.22,0.89946,2.16E-06,52.38095238,45.23809524,0,2.380952381,0,0,0
20.66953,45.73723,7031.16,0.9223,2.88E-06,52.38095238,45.23809524,0,2.380952381,0,0,0
23.64468,25.07013,7273.75,0.92456,2.93E-06,52.38095238,45.23809524,0,2.380952381,0,0,0
14.75354,19.95863,6799.18,0.85,1.51E-06,52.38095238,45.23809524,0,2.380952381,0,0,0
28.23629,29.81146,7424.15,0.92598,2.99E-06,52.38095238,45.23809524,0,2.380952381,0,0,0
13.83457,16.03138,6976.49,0.85106,1.53E-06,52.38095238,45.23809524,0,2.380952381,0,0,0
13.30534,17.13828,7054.14,0.88336,1.93E-06,52.38095238,45.23809524,0,2.380952381,0,0,0
26.70913,33.87336,7053.3,0.93366,3.11E-06,56.25,31.25,3.125,9.375,0,0,0
31.07208,37.26647,7064.31,0.9315,2.99E-06,56.25,31.25,3.125,9.375,0,0,0
21.83101,23.10263,5479.93,0.83796,1.36E-06,56.25,31.25,3.125,9.375,0,0,0
21.75809,26.32133,6751.38,0.92666,2.80E-06,56.25,31.25,3.125,9.375,0,0,0
18.19252,19.40583,7126.31,0.91324,2.30E-06,56.25,31.25,3.125,9.375,0,0,0
17.75463,18.18567,4252.84,0.82228,1.16E-06,56.25,31.25,3.125,9.375,0,0,0
29.57578,58.4035,6663.91,0.94074,3.47E-06,56.25,31.25,3.125,9.375,0,0,0
22.48804,46.73713,6474.02,0.93452,3.12E-06,56.25,31.25,3.125,9.375,0,0,0
17.38474,22.91022,6032.99,0.86864,1.63E-06,56.25,31.25,3.125,9.375,0,0,0
13.67899,18.62973,6838.39,0.87216,1.66E-06,56.25,31.25,3.125,9.375,0,0,0
22.32608,27.51669,7039.38,0.92516,2.72E-06,56.25,31.25,3.125,9.375,0,0,0
16.01294,19.39673,6078.24,0.85448,1.39E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
14.83611,16.83128,6702.84,0.89778,1.91E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
35.24749,36.15968,5656.31,0.95652,4.21E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
28.12975,29.52857,5204.48,0.9105,2.14E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
15.3063,16.07157,6764.05,0.9043,1.99E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
20.17589,49.38919,6729.92,0.92398,2.51E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
19.78144,46.46475,6297.71,0.92732,2.70E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
22.71809,25.15105,6391.89,0.92882,2.68E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
27.24757,30.2417,6682.21,0.92886,2.73E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
14.19979,16.45166,6352.73,0.85728,1.43E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
13.58297,15.43723,6800.17,0.89844,1.92E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
9.54929,11.6393,5489.06,0.79656,1.04E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
19.05633,21.14661,4945.32,0.82306,1.19E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
20.97097,25.36003,6254.92,0.91844,2.41E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
24.33406,39.77966,6433.75,0.92002,2.44E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
28.03316,58.30609,6749.6,0.94124,3.20E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
19.87248,46.59989,6171.74,0.92788,2.70E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
22.98567,25.49268,6528.54,0.9293,2.69E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
27.32544,30.55767,6471.77,0.92988,2.72E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
12.88147,17.70207,6167.11,0.85904,1.43E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
20.92813,27.38552,6655.28,0.91668,2.34E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
6.53501,12.78335,5376.03,0.79708,1.03E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
