PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KCO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,CO2-10 bar (mol/kg)
9.26179,9.35855,3254.74,0.72776,3.46E-05,56.16438356,38.35616438,5.479452055,0,0,0,0,17.36972934
4.33795,4.58342,399.366,0.46242,4.40E-05,56.16438356,38.35616438,5.479452055,0,0,0,0,2.937250916
8.87996,8.97856,1869.59,0.62822,2.96E-05,56.16438356,38.35616438,5.479452055,0,0,0,0,12.04816414
4.09217,4.35137,258.579,0.43584,7.43E-05,56.16438356,38.35616438,5.479452055,0,0,0,0,2.66744983
12.74558,13.0458,1134.58,0.5562,3.03E-05,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,6.770520741
12.78481,13.08945,1111.54,0.59634,3.11E-05,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,9.209723038
8.28768,8.45131,1791.81,0.62786,4.71E-06,56.98924731,38.70967742,4.301075269,0,0,0,0,6.10175764
18.69066,20.45335,3980.38,0.81322,1.77E-04,56.60377358,35.8490566,7.547169811,0,0,0,0,12.66279149
30.82882,31.00347,2234.24,0.78856,8.07E-06,52.38095238,38.0952381,4.761904762,4.761904762,0,0,0,6.705514568
23.14657,23.37377,2027.01,0.74468,9.09E-06,50,37.5,6.25,6.25,0,0,0,7.361576131
16.8085,17.19339,2642.36,0.72696,8.68E-06,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,7.158911633
32.26851,32.49748,2597.35,0.82036,4.51E-06,46.875,40.625,6.25,6.25,0,0,0,4.99316818
21.98706,22.24941,1742.73,0.7308,1.44E-05,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,8.991086748
23.64538,23.86875,1697.67,0.72312,7.22E-06,56.25,25,0,12.5,6.25,0,0,7.761447602
8.56216,9.14896,1114.65,0.53162,2.17E-05,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,7.164713965
24.14836,24.38426,1743.58,0.73324,6.81E-06,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,7.430034507
16.21639,16.54198,1595.7,0.65038,6.54E-06,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,8.662637509
17.28794,17.6262,1612.52,0.67756,1.94E-05,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,11.38841938
25.30476,25.68704,2252.6,0.7401,1.21E-05,56.75675676,37.83783784,5.405405405,0,0,0,0,8.397108976
18.04318,18.33921,2142.94,0.68034,4.54E-06,41.66666667,37.5,8.333333333,12.5,0,0,0,3.887491126
25.21035,25.45912,2597.93,0.79384,5.17E-06,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,5.574272154
10.98125,12.52501,5102.7,0.75934,4.29E-05,56.52173913,38.04347826,5.434782609,0,0,0,0,18.60168191
10.12633,11.59954,3831.24,0.71288,2.96E-05,55.55555556,37.5,6.944444444,0,0,0,0,13.15585878
31.98616,32.11213,2477.4,0.77316,8.12E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,8.467446165
21.24887,21.39035,1375.09,0.62376,8.11E-06,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,6.05070541
16.83337,17.12286,2390.91,0.70752,5.02E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,5.385965061
24.86871,25.35566,3444.92,0.8318,7.65E-06,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,8.072757154
9.65747,11.09613,2283.27,0.67046,5.20E-06,53.19148936,42.55319149,4.255319149,0,0,0,0,8.071060042
14.64627,14.87352,2607.7,0.72348,7.23E-06,59.09090909,38.63636364,2.272727273,0,0,0,0,8.474712247
26.94167,27.1243,1677.46,0.75146,1.14E-05,55,25,10,0,0,10,0,10.22324379
9.7242,10.56229,782.175,0.5707,3.76E-05,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,5.153246141
23.89316,24.1474,2102,0.70558,8.20E-06,56.09756098,37.80487805,6.097560976,0,0,0,0,7.178307594
16.82414,17.17805,1684.24,0.59818,1.04E-05,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,4.490833942
9.74184,10.18081,1301.04,0.57538,1.08E-05,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,7.648207061
13.58509,14.58188,2747.7,0.70796,7.49E-06,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,6.477793544
21.34032,21.55177,1674.5,0.70852,6.42E-06,40,35,10,15,0,0,0,5.714303696
9.06841,9.51608,600.981,0.48302,3.90E-06,55.07246377,37.68115942,7.246376812,0,0,0,0,3.335045908
15.60159,15.98839,2205.43,0.70816,4.42E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,5.708919571
8.40883,9.02368,482.236,0.52898,9.36E-05,37.5,46.875,6.25,6.25,0,0,3.125,4.835911348
10.67786,11.16226,1488.03,0.59456,6.04E-06,61.9047619,33.33333333,4.761904762,0,0,0,0,7.459266339
35.49808,35.70981,2538.44,0.83738,5.15E-06,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,5.79067637
11.24578,11.69348,1860.91,0.61976,5.48E-06,57.14285714,35.71428571,7.142857143,0,0,0,0,5.789800859
17.10247,17.40167,927.31,0.52224,3.92E-06,51.35135135,40.54054054,8.108108108,0,0,0,0,2.668229357
22.83776,23.86923,6014.09,0.8601,3.30E-05,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,18.53951192
25.24971,25.75548,3913,0.84754,1.05E-05,54.375,36.875,5,0,0,0,3.75,9.248101204
23.81541,24.06097,1831.5,0.72056,3.45E-06,61.11111111,33.33333333,5.555555556,0,0,0,0,4.23139059
32.05739,32.23268,1966.39,0.77422,3.56E-06,60.86956522,34.7826087,4.347826087,0,0,0,0,4.241660552
16.88399,17.68947,4042.07,0.81256,8.02E-06,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,9.423262639
38.02857,38.18266,2421.47,0.82272,4.18E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,4.711010266
38.73241,38.88744,2573.21,0.84332,4.90E-06,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,5.063468527
37.56498,37.65744,3106.64,0.85454,5.86E-06,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,5.950433529
