PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,O2-1 bar (mol/kg)
10.12633,11.59954,3831.24,0.71288,4.31E-06,55.55555556,37.5,6.944444444,0,0,0,0,0.419041585
31.98616,32.11213,2477.4,0.77316,2.35E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,0.235224691
21.24887,21.39035,1375.09,0.62376,1.46E-06,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,0.144058786
16.83337,17.12286,2390.91,0.70752,1.70E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,0.169148206
24.86871,25.35566,3444.92,0.8318,2.62E-06,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,0.262443295
9.65747,11.09613,2283.27,0.67046,1.69E-06,53.19148936,42.55319149,4.255319149,0,0,0,0,0.16942225
14.64627,14.87352,2607.7,0.72348,2.09E-06,59.09090909,38.63636364,2.272727273,0,0,0,0,0.207510831
26.94167,27.1243,1677.46,0.75146,1.49E-06,55,25,10,0,0,10,0,0.148289967
9.7242,10.56229,782.175,0.5707,9.97E-07,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,0.099460656
23.89316,24.1474,2102,0.70558,2.05E-06,56.09756098,37.80487805,6.097560976,0,0,0,0,0.202701436
16.82414,17.17805,1684.24,0.59818,1.74E-06,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,0.170032651
9.74184,10.18081,1301.04,0.57538,1.65E-06,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,0.161814265
13.58509,14.58188,2747.7,0.70796,1.90E-06,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,0.191031755
21.34032,21.55177,1674.5,0.70852,1.44E-06,40,35,10,15,0,0,0,0.141858292
9.06841,9.51608,600.981,0.48302,8.32E-07,55.07246377,37.68115942,7.246376812,0,0,0,0,0.082969057
15.60159,15.98839,2205.43,0.70816,1.60E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,0.159349093
8.40883,9.02368,482.236,0.52898,2.18E-06,37.5,46.875,6.25,6.25,0,0,3.125,0.213075952
10.67786,11.16226,1488.03,0.59456,1.46E-06,61.9047619,33.33333333,4.761904762,0,0,0,0,0.143371688
35.49808,35.70981,2538.44,0.83738,2.15E-06,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,0.214964601
11.24578,11.69348,1860.91,0.61976,1.54E-06,57.14285714,35.71428571,7.142857143,0,0,0,0,0.152863601
17.10247,17.40167,927.31,0.52224,8.96E-07,51.35135135,40.54054054,8.108108108,0,0,0,0,0.088428276
22.83776,23.86923,6014.09,0.8601,5.68E-06,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,0.565046429
25.24971,25.75548,3913,0.84754,3.03E-06,54.375,36.875,5,0,0,0,3.75,0.299152878
23.81541,24.06097,1831.5,0.72056,1.34E-06,61.11111111,33.33333333,5.555555556,0,0,0,0,0.133690503
32.05739,32.23268,1966.39,0.77422,1.55E-06,60.86956522,34.7826087,4.347826087,0,0,0,0,0.153325934
16.88399,17.68947,4042.07,0.81256,2.62E-06,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,0.260018141
38.02857,38.18266,2421.47,0.82272,1.96E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.195550465
38.73241,38.88744,2573.21,0.84332,2.23E-06,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,0.222801668
37.56498,37.65744,3106.64,0.85454,2.45E-06,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,0.245462358
26.35383,26.54457,2082.13,0.76606,1.54E-06,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,0.153563381
25.82277,26.05323,2077.82,0.77472,2.00E-06,50,33.33333333,11.11111111,5.555555556,0,0,0,0.197967085
38.80415,38.87485,2607.72,0.80212,2.48E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,0.245910639
12.63935,13.00429,1699.8,0.64652,1.48E-06,52,28,12,8,0,0,0,0.145807118
19.01338,19.17626,2119.45,0.73848,1.73E-06,47.5,35,10,7.5,0,0,0,0.172482153
27.09758,27.20545,2190.75,0.78752,1.86E-06,47.5,35,10,5,0,0,2.5,0.186692315
38.96494,39.10948,2611.01,0.83528,2.17E-06,54.16666667,37.5,8.333333333,0,0,0,0,0.216462917
25.97265,26.20447,2379.75,0.76662,1.92E-06,56,40,4,0,0,0,0,0.190818644
21.23186,21.48053,2260.29,0.773,1.68E-06,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,0.16798198
23.07162,23.97144,5034.96,0.85508,9.49E-06,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,0.816437626
10.6711,11.55953,1045.28,0.57244,2.58E-06,54.54545455,39.39393939,6.060606061,0,0,0,0,0.236011631
18.67205,18.83659,1507.46,0.65308,1.77E-06,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,0.173701254
8.40705,8.94082,993.066,0.5077,1.83E-06,57.14285714,28.57142857,14.28571429,0,0,0,0,0.178843699
10.55911,10.99477,1241.18,0.55678,1.24E-06,60,30,10,0,0,0,0,0.122837648
6.02452,6.73972,1007.55,0.52324,3.72E-06,50,25,25,0,0,0,0,0.345817776
21.99696,22.25586,1733.44,0.72906,1.84E-06,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.182132204
14.85314,15.16267,1485.39,0.64318,1.54E-06,50,25,8.333333333,16.66666667,0,0,0,0.151600477
15.82205,16.14031,1634.8,0.66114,1.49E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,0.147514449
19.03653,19.28003,1547.81,0.69218,1.94E-06,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,0.191524173
21.82001,22.09147,1891.18,0.73434,1.62E-06,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,0.161560243
21.37753,30.82847,6958.99,0.93212,5.08E-06,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,0.503763907
27.50721,27.70127,1782.77,0.74908,1.67E-06,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,0.166776637
31.42483,31.59639,1787.64,0.7723,2.01E-06,65,20,0,10,5,0,0,0.19969468
30.33059,30.47384,1932.9,0.78676,3.17E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.314593861
28.94654,29.02379,2148.74,0.78628,1.63E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.163140553
29.44973,29.61979,2207.3,0.78594,1.68E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.168035119
19.00554,19.13609,1806.59,0.71216,1.88E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.18509749
17.50947,17.74285,1762.18,0.70666,2.08E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.205573822
17.39891,18.46813,4307.16,0.82422,9.24E-06,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,0.78791327
28.83791,28.97733,2055.84,0.78488,1.48E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.147891182
14.17588,16.11614,7251.58,0.90082,4.02E-06,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,0.401665957
14.1657,16.1092,6615.93,0.89698,3.71E-06,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,0.369783286
14.61444,15.22203,2323.71,0.7196,1.68E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.166841428
16.38611,16.51752,1837.52,0.6725,1.79E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.175158275
25.51863,25.62215,1965.11,0.74186,1.75E-06,50,41.56626506,4.21686747,4.21686747,0,0,0,0.174774826
24.38004,24.50349,1916.35,0.73354,1.77E-06,50,40.36144578,4.21686747,5.421686747,0,0,0,0.176502093
23.23817,23.31082,1877.56,0.73106,1.71E-06,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,0.172038241
23.9675,24.14077,1831.45,0.72804,1.56E-06,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,0.155122822
20.81745,20.94699,1447.82,0.68052,1.28E-06,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,0.129260013
19.26829,19.382,1464.14,0.67458,1.18E-06,45.87155963,43.11926606,3.669724771,7.339449541,0,0,0,0.115946217
4.91947,5.5683,609.527,0.4658,2.28E-06,45.53571429,43.75,3.571428571,7.142857143,0,0,0,0.216966862
39.68397,39.9305,2621.58,0.79732,2.02E-06,56.66666667,40,3.333333333,0,0,0,0,0.200290549
17.39813,17.54485,1499.4,0.68054,1.76E-06,57.69230769,27.88461538,8.653846154,5.769230769,0,0,0,0.174326469
42.80809,42.93816,1829.24,0.81612,2.03E-06,57.57575758,24.24242424,3.03030303,12.12121212,3.03030303,0,0,0.201517854
43.28884,43.42187,1934.87,0.82484,2.05E-06,56.66666667,23.33333333,3.333333333,13.33333333,3.333333333,0,0,0.205466173
10.03477,10.55423,1317.7,0.5808,1.36E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.133588321
10.03477,10.55423,1467.28,0.58566,1.43E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.139297966
10.03477,10.55423,1572.98,0.59568,1.30E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.128134956
7.62148,7.93604,1293.92,0.56012,1.15E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.113055461
27.14804,27.41489,2545.35,0.80114,1.90E-06,50,40,5,5,0,0,0,0.191109757
31.82555,31.90137,2323.9,0.76406,3.87E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,0.379150221
32.86681,33.03455,2711.04,0.78798,3.01E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,0.302146881
16.93791,17.2286,1127.87,0.64998,9.19E-07,58.62068966,10.34482759,3.448275862,0,0,27.5862069,0,0.091365652
19.33361,19.49918,2091.09,0.72138,1.89E-06,57.57575758,36.36363636,6.060606061,0,0,0,0,0.186900171
24.69608,24.82012,2023.28,0.77204,1.90E-06,60.60606061,30.3030303,0,6.060606061,3.03030303,0,0,0.188002121
11.7271,12.13815,1151.15,0.58086,6.80E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.067435842
11.85435,12.28175,1214.17,0.58532,8.92E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.088343107
18.35805,18.71848,1683.52,0.6895,1.84E-06,54.90196078,29.41176471,3.921568627,7.843137255,3.921568627,0,0,0.184118879
9.11511,9.87643,1713.67,0.62662,1.69E-06,57.14285714,33.33333333,9.523809524,0,0,0,0,0.16731642
11.06222,11.37486,1677.68,0.61804,1.83E-06,57.79816514,35.77981651,6.422018349,0,0,0,0,0.182032276
10.72675,11.02482,1505.03,0.58464,1.55E-06,62.96296296,33.33333333,3.703703704,0,0,0,0,0.152395891
14.44901,15.66522,4062.67,0.80292,9.07E-06,56.66666667,33.33333333,6.666666667,3.333333333,0,0,0,0.786541334
41.05112,41.1773,2272.28,0.83222,2.37E-06,60.86956522,26.08695652,0,8.695652174,4.347826087,0,0,0.235040211
9.37583,11.01204,4872.89,0.793,9.70E-06,52.30769231,35.38461538,6.153846154,6.153846154,0,0,0,0.813109941
5.94566,7.11918,2019.34,0.61318,1.73E-06,57.89473684,36.84210526,5.263157895,0,0,0,0,0.170156144
14.43667,14.78901,1987.87,0.66862,1.64E-06,53.57142857,35.71428571,10.71428571,0,0,0,0,0.163334282
16.83791,17.15189,2411.8,0.71904,1.80E-06,56.66666667,33.33333333,10,0,0,0,0,0.178568468
15.00037,15.2073,2127.23,0.70194,1.68E-06,51.42857143,40,1.428571429,5.714285714,1.428571429,0,0,0.164742551
19.77262,22.16292,7094.57,0.90412,4.39E-06,56.25,25,12.5,6.25,0,0,0,0.439087975
9.18961,9.80273,1739.36,0.6184,1.15E-06,40,25,25,10,0,0,0,0.113686705
20.79435,21.19983,3846.24,0.83142,6.11E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.572193131
16.15375,16.51788,1691.43,0.66724,2.05E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.20286542
18.14826,18.49638,1732.61,0.68272,1.57E-06,57.89473684,31.57894737,5.263157895,5.263157895,0,0,0,0.154707511
7.26122,8.0558,1381.08,0.58616,2.40E-06,50.4587156,44.95412844,2.752293578,1.834862385,0,0,0,0.231379591
6.48996,7.45342,702.761,0.4803,5.75E-07,44.73684211,50,2.631578947,2.631578947,0,0,0,0.057204906
15.35482,15.85081,1728.24,0.66142,1.07E-06,48.93617021,48.93617021,2.127659574,0,0,0,0,0.106855095
35.71819,35.86719,2366.26,0.80666,1.54E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.152409952
25.41555,25.64462,2270.49,0.7851,1.80E-06,56.41025641,35.8974359,5.128205128,0,0,0,2.564102564,0.179224547
32.79335,33.01596,2559.5,0.83286,1.94E-06,56.52173913,34.7826087,4.347826087,0,0,0,4.347826087,0.193264165
9.54557,9.60069,821.238,0.45824,6.95E-07,48.10810811,49.72972973,2.162162162,0,0,0,0,0.068848333
13.11194,13.17228,1032.13,0.51894,9.79E-07,50.24875622,47.76119403,1.990049751,0,0,0,0,0.096664336
10.59437,12.48955,8339.6,0.88504,3.96E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.389533036
9.58065,10.43778,8105.77,0.83242,3.87E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.386176714
24.61711,29.01327,8684.09,0.94858,6.09E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.61072111
10.07551,12.06451,8233.61,0.8788,3.92E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.390498206
9.7459,10.65907,8177.69,0.82438,3.92E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.38805317
24.10888,28.27167,8780.71,0.94386,5.84E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.591119451
8.66317,9.76361,7545.81,0.8085,3.83E-06,50.3875969,43.41085271,3.100775194,3.100775194,0,0,0,0.382642888
23.74486,28.52567,8254.16,0.94274,5.84E-06,50.3875969,43.41085271,3.100775194,3.100775194,0,0,0,0.587345291
