PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KCH4 (mol/kg/Pa) ,%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,CH4-10 bar (mol/kg)
28.94654,29.02379,2148.74,0.78628,2.98E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,2.762006439
29.44973,29.61979,2207.3,0.78594,3.12E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,2.854228829
19.00554,19.13609,1806.59,0.71216,4.37E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,3.642432568
17.50947,17.74285,1762.18,0.70666,5.53E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,3.973693605
17.39891,18.46813,4307.16,0.82422,2.81E-05,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,6.920119888
28.83791,28.97733,2055.84,0.78488,2.61E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,2.459606399
14.17588,16.11614,7251.58,0.90082,5.76E-06,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,5.695493649
14.1657,16.1092,6615.93,0.89698,5.37E-06,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,5.339823981
14.61444,15.22203,2323.71,0.7196,3.77E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,3.05341254
16.38611,16.51752,1837.52,0.6725,4.82E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,3.296076731
25.51863,25.62215,1965.11,0.74186,4.05E-06,50,41.56626506,4.21686747,4.21686747,0,0,0,3.170726887
24.38004,24.50349,1916.35,0.73354,4.34E-06,50,40.36144578,4.21686747,5.421686747,0,0,0,3.101518986
23.23817,23.31082,1877.56,0.73106,4.01E-06,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,3.087577153
23.9675,24.14077,1831.45,0.72804,3.38E-06,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,2.757161041
20.81745,20.94699,1447.82,0.68052,2.89E-06,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,2.327790755
19.26829,19.382,1464.14,0.67458,2.56E-06,45.87155963,43.11926606,3.669724771,7.339449541,0,0,0,2.154100925
4.91947,5.5683,609.527,0.4658,9.74E-06,45.53571429,43.75,3.571428571,7.142857143,0,0,0,2.570807202
39.68397,39.9305,2621.58,0.79732,3.94E-06,56.66666667,40,3.333333333,0,0,0,0,3.360734186
17.39813,17.54485,1499.4,0.68054,4.77E-06,57.69230769,27.88461538,8.653846154,5.769230769,0,0,0,3.403120129
42.80809,42.93816,1829.24,0.81612,4.11E-06,57.57575758,24.24242424,3.03030303,12.12121212,3.03030303,0,0,3.438833522
43.28884,43.42187,1934.87,0.82484,3.98E-06,56.66666667,23.33333333,3.333333333,13.33333333,3.333333333,0,0,3.410720141
10.03477,10.55423,1317.7,0.5808,3.82E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,2.443889674
10.03477,10.55423,1467.28,0.58566,3.98E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,2.578967567
10.03477,10.55423,1572.98,0.59568,3.62E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,2.390735756
7.62148,7.93604,1293.92,0.56012,3.65E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,2.29856645
27.14804,27.41489,2545.35,0.80114,3.50E-06,50,40,5,5,0,0,0,3.197255692
31.82555,31.90137,2323.9,0.76406,1.19E-05,57.44680851,38.29787234,4.255319149,0,0,0,0,6.53531037
32.86681,33.03455,2711.04,0.78798,7.45E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,5.303813965
16.93791,17.2286,1127.87,0.64998,2.00E-06,58.62068966,10.34482759,3.448275862,0,0,27.5862069,0,1.768094262
19.33361,19.49918,2091.09,0.72138,4.65E-06,57.57575758,36.36363636,6.060606061,0,0,0,0,3.669166159
24.69608,24.82012,2023.28,0.77204,3.83E-06,60.60606061,30.3030303,0,6.060606061,3.03030303,0,0,3.354071556
11.7271,12.13815,1151.15,0.58086,1.48E-06,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,1.388858377
11.85435,12.28175,1214.17,0.58532,2.17E-06,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,1.941995309
18.35805,18.71848,1683.52,0.6895,4.32E-06,54.90196078,29.41176471,3.921568627,7.843137255,3.921568627,0,0,3.594400339
9.11511,9.87643,1713.67,0.62662,4.59E-06,57.14285714,33.33333333,9.523809524,0,0,0,0,3.26994633
11.06222,11.37486,1677.68,0.61804,5.31E-06,57.79816514,35.77981651,6.422018349,0,0,0,0,4.021072528
10.72675,11.02482,1505.03,0.58464,4.52E-06,62.96296296,33.33333333,3.703703704,0,0,0,0,3.02992269
14.44901,15.66522,4062.67,0.80292,2.63E-05,56.66666667,33.33333333,6.666666667,3.333333333,0,0,0,6.506114654
41.05112,41.1773,2272.28,0.83222,4.45E-06,60.86956522,26.08695652,0,8.695652174,4.347826087,0,0,3.915310125
9.37583,11.01204,4872.89,0.793,2.97E-05,52.30769231,35.38461538,6.153846154,6.153846154,0,0,0,7.816333214
5.94566,7.11918,2019.34,0.61318,4.60E-06,57.89473684,36.84210526,5.263157895,0,0,0,0,3.458851019
14.43667,14.78901,1987.87,0.66862,4.06E-06,53.57142857,35.71428571,10.71428571,0,0,0,0,3.389663747
16.83791,17.15189,2411.8,0.71904,4.20E-06,56.66666667,33.33333333,10,0,0,0,0,3.561928796
15.00037,15.2073,2127.23,0.70194,4.03E-06,51.42857143,40,1.428571429,5.714285714,1.428571429,0,0,3.1510262
19.77262,22.16292,7094.57,0.90412,6.92E-06,56.25,25,12.5,6.25,0,0,0,6.797653454
