PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,H2-1bar (mol/kg)
23.89316,24.1474,2112.84009,0.70826,6.52E-07,56.09756098,37.80487805,6.097560976,0,0,0,0,0.065217538
16.82414,17.17805,1692.73999,0.59693,3.69E-07,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,0.036361667
9.74184,10.18081,1307.15002,0.57264,3.55E-07,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,0.034937961
13.58549,14.58226,2771.12012,0.70794,5.68E-07,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,0.056951861
21.34046,21.55193,1678.69995,0.7095,5.42E-07,40,35,10,15,0,0,0,0.054647551
9.06842,9.51559,605.03998,0.4842,1.71E-07,55.07246377,37.68115942,7.246376812,0,0,0,0,0.017139884
15.60159,15.98839,2212.22998,0.7068,5.76E-07,54.54545455,36.36363636,9.090909091,0,0,0,0,0.057483479
8.40883,9.02368,498.04199,0.53091,2.77E-07,37.5,46.875,6.25,6.25,0,0,3.125,0.027282492
10.67786,11.16226,1501.27002,0.59192,3.86E-07,61.9047619,33.33333333,4.761904762,0,0,0,0,0.03813624
35.49808,35.70981,2543.05005,0.83528,1.17E-06,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,0.116114798
11.24577,11.69348,1878.98999,0.61793,4.04E-07,57.14285714,35.71428571,7.142857143,0,0,0,0,0.040812551
17.10247,17.40166,931.42102,0.52413,2.53E-07,51.35135135,40.54054054,8.108108108,0,0,0,0,0.024999135
22.83776,23.86923,6042.70996,0.85985,1.64E-06,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,0.165536428
25.24985,25.75558,3938.86011,0.84708,1.33E-06,54.375,36.875,5,0,0,0,3.75,0.134237632
23.81541,24.06097,1836.46997,0.72,6.20E-07,61.11111111,33.33333333,5.555555556,0,0,0,0,0.061968828
32.05735,32.23261,1982.25,0.77406,8.24E-07,60.86956522,34.7826087,4.347826087,0,0,0,0,0.082219383
16.88399,17.68947,4052.83008,0.814,1.12E-06,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,0.111086208
38.02857,38.18265,2431.3999,0.82078,1.09E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.108630647
38.73254,38.88757,2576.98999,0.84211,1.20E-06,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,0.119188464
37.57103,37.65768,3115.06006,0.85471,1.34E-06,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,0.133073573
26.35383,26.54457,2087.62012,0.7667,7.34E-07,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,0.074150323
25.82308,26.05354,2080.82007,0.77613,7.74E-07,50,33.33333333,11.11111111,5.555555556,0,0,0,0.077807008
38.80415,38.87484,2615.83008,0.80107,1.02E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,0.101110222
12.63935,13.00429,1703.72998,0.64686,4.40E-07,52,28,12,8,0,0,0,0.043526086
19.01342,19.17629,2136.29004,0.73683,6.70E-07,47.5,35,10,7.5,0,0,0,0.067217752
27.09753,27.20541,2185.05005,0.788,8.45E-07,47.5,35,10,5,0,0,2.5,0.084453036
38.96494,39.10948,2624.19995,0.83403,1.19E-06,54.16666667,37.5,8.333333333,0,0,0,0,0.117901656
25.97309,26.2053,2390.20996,0.76615,8.29E-07,56,40,4,0,0,0,0,0.08212544
21.23209,21.48076,2268.12988,0.77195,7.52E-07,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,0.076015033
23.07197,23.97178,5086.93994,0.85531,1.67E-06,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,0.166130018
10.6711,11.55953,1070.43005,0.57033,3.01E-07,54.54545455,39.39393939,6.060606061,0,0,0,0,0.029649723
18.67204,18.83659,1512.76001,0.6517,5.23E-07,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,0.051560459
8.40704,8.94082,1003.71002,0.5054,2.89E-07,57.14285714,28.57142857,14.28571429,0,0,0,0,0.028903984
10.55911,10.99477,1251.15002,0.55296,3.11E-07,60,30,10,0,0,0,0,0.031253074
6.02454,6.73973,1045.28003,0.52031,3.54E-07,50,25,25,0,0,0,0,0.035977552
21.99696,22.25586,1738.93994,0.7308,6.17E-07,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.06033542
14.85301,15.16228,1491.92004,0.64361,4.41E-07,50,25,8.333333333,16.66666667,0,0,0,0.043601433
15.82205,16.14031,1643.07996,0.65932,4.81E-07,50,33.33333333,8.333333333,8.333333333,0,0,0,0.04806028
19.13906,19.38998,1646.42004,0.70693,5.61E-07,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,0.055989843
21.82039,21.8886,875.01703,0.64564,6.27E-07,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,0.062357141
21.37782,30.82595,6945.16016,0.93253,3.22E-06,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,0.322522531
29.18206,29.3658,1965.17004,0.76261,7.06E-07,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,0.070251696
34.20807,34.38021,2126.71997,0.79858,8.08E-07,65,20,0,10,5,0,0,0.080161606
30.33059,30.47384,1944.23999,0.78613,9.71E-07,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.095667961
28.39359,28.54899,997.479,0.7137,8.32E-07,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.08183041
29.45341,29.61307,2212.42993,0.78412,8.42E-07,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.083166331
19.00554,19.13609,1811.78003,0.71373,6.27E-07,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.062770913
17.50946,17.74283,1771.46997,0.70636,5.94E-07,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.059547307
17.39891,18.46826,4381.72021,0.82309,1.41E-06,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,0.141198677
28.79472,28.86274,936.651,0.71451,7.88E-07,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.078312725
14.17588,16.11614,7239.43018,0.89917,2.28E-06,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,0.22839854
14.1657,16.1092,6601.52979,0.89554,2.06E-06,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,0.205279109
14.61452,15.22205,2336.6001,0.72,5.93E-07,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.058749443
16.38605,16.51747,1842.12,0.67382,5.26E-07,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.051825344
25.51861,25.62212,1972.40002,0.74221,7.12E-07,50,41.56626506,4.21686747,4.21686747,0,0,0,0.071282355
24.38007,24.50352,1920.18005,0.73422,6.85E-07,50,40.36144578,4.21686747,5.421686747,0,0,0,0.06753914
23.23815,23.3108,1885.54004,0.73129,6.73E-07,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,0.066641863
23.96858,24.14078,1841.44995,0.72704,6.54E-07,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,0.064576836
20.81746,20.94701,1448.55005,0.68025,5.12E-07,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,0.051278043
19.26829,19.35467,1469.69995,0.6743,4.80E-07,45.87155963,43.11926606,3.669724771,7.339449541,0,0,0,0.047720243
4.91947,5.5683,631.85797,0.46478,2.22E-07,45.53571429,43.75,3.571428571,7.142857143,0,0,0,0.02173274
39.68396,39.9305,2637.72998,0.79808,9.29E-07,56.66666667,40,3.333333333,0,0,0,0,0.092734669
17.39813,17.54485,1510.25,0.6812,5.14E-07,57.69230769,27.88461538,8.653846154,5.769230769,0,0,0,0.05110244
43.78149,43.89693,1841.88,0.82443,9.77E-07,57.57575758,24.24242424,3.03030303,12.12121212,3.03030303,0,0,0.096811215
44.50286,44.62077,1887.98999,0.83009,1.03E-06,56.66666667,23.33333333,3.333333333,13.33333333,3.333333333,0,0,0.102284555
10.03478,10.55424,1336.09998,0.58091,2.91E-07,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.028841876
10.03478,10.55424,1489.54004,0.58536,3.13E-07,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.031272682
10.03478,10.55424,1594.46997,0.59539,3.16E-07,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.031860809
10.03477,10.55423,1194.60999,0.57493,2.62E-07,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.02609075
27.14794,27.41477,2555.88989,0.80083,9.22E-07,50,40,5,5,0,0,0,0.091827514
31.82555,31.90137,2335.69995,0.76263,9.76E-07,57.44680851,38.29787234,4.255319149,0,0,0,0,0.098192394
32.86681,33.03455,2720.17993,0.78805,9.80E-07,57.44680851,38.29787234,4.255319149,0,0,0,0,0.097686247
16.93789,17.22858,1127.60999,0.64756,3.48E-07,58.62068966,10.34482759,3.448275862,0,0,27.5862069,0,0.034601867
19.33353,19.49908,2090.81006,0.71981,6.63E-07,57.57575758,36.36363636,6.060606061,0,0,0,0,0.066723563
24.69607,24.82011,2025.39001,0.77125,8.22E-07,60.60606061,30.3030303,0,6.060606061,3.03030303,0,0,0.08174716
11.7271,12.13815,1159.67004,0.5796,2.49E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.02497285
11.85435,12.27828,1228.58997,0.58361,2.78E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.027509774
19.22142,20.2581,4417.16016,0.83159,5.90E-07,54.90196078,29.41176471,3.921568627,7.843137255,3.921568627,0,0,0.05875341
9.11507,9.87639,1733.82996,0.62708,4.14E-07,57.14285714,33.33333333,9.523809524,0,0,0,0,0.041193833
11.06228,11.3751,1692.01001,0.61999,4.28E-07,57.79816514,35.77981651,6.422018349,0,0,0,0,0.042252357
10.72674,11.02482,1514.69995,0.58655,3.75E-07,62.96296296,33.33333333,3.703703704,0,0,0,0,0.037310311
14.44897,15.66519,4133.66016,0.80334,1.28E-06,56.66666667,33.33333333,6.666666667,3.333333333,0,0,0,0.127906436
41.05191,41.18296,2277.42993,0.83019,1.17E-06,60.86956522,26.08695652,0,8.695652174,4.347826087,0,0,0.11662408
9.37565,10.89243,4926.83984,0.79181,1.24E-06,52.30769231,35.38461538,6.153846154,6.153846154,0,0,0,0.123995578
5.94566,7.11918,2071.25,0.61417,3.76E-07,57.89473684,36.84210526,5.263157895,0,0,0,0,0.037405972
14.43667,14.78901,2002.96997,0.67089,5.27E-07,53.57142857,35.71428571,10.71428571,0,0,0,0,0.052395657
16.83791,17.15189,2429.28003,0.7208,6.53E-07,56.66666667,33.33333333,10,0,0,0,0,0.065932139
15.00043,15.20734,2146.33008,0.70036,5.25E-07,51.42857143,40,1.428571429,5.714285714,1.428571429,0,0,0.052820451
19.77265,22.16294,7074.95996,0.90228,2.16E-06,56.25,25,12.5,6.25,0,0,0,0.215225425
9.18961,9.80273,1760.02002,0.61887,3.50E-07,40,25,25,10,0,0,0,0.034819998
20.79435,21.19984,3865.05005,0.83165,1.44E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.14539296
16.15375,16.51787,1693.45996,0.66858,5.41E-07,59.57446809,36.17021277,4.255319149,0,0,0,0,0.053582687
