PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,O2-0.1 bar (mol/kg)
18.04318,18.33921,2142.94,0.68034,1.18E-06,41.66666667,37.5,8.333333333,12.5,0,0,0,0.011701528
25.21035,25.45912,2597.93,0.79384,1.72E-06,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,0.017241439
10.98125,12.52501,5102.7,0.75934,5.89E-06,56.52173913,38.04347826,5.434782609,0,0,0,0,0.057867063
10.12633,11.59954,3831.24,0.71288,4.31E-06,55.55555556,37.5,6.944444444,0,0,0,0,0.043615754
31.98616,32.11213,2477.4,0.77316,2.35E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,0.023465909
21.24887,21.39035,1375.09,0.62376,1.46E-06,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,0.014873082
16.83337,17.12286,2390.91,0.70752,1.70E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,0.016925097
24.86871,25.35566,3444.92,0.8318,2.62E-06,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,0.025826742
9.65747,11.09613,2283.27,0.67046,1.69E-06,53.19148936,42.55319149,4.255319149,0,0,0,0,0.016638865
14.64627,14.87352,2607.7,0.72348,2.09E-06,59.09090909,38.63636364,2.272727273,0,0,0,0,0.020722874
26.94167,27.1243,1677.46,0.75146,1.49E-06,55,25,10,0,0,10,0,0.014980304
9.7242,10.56229,782.175,0.5707,9.97E-07,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,0.00985434
23.89316,24.1474,2102,0.70558,2.05E-06,56.09756098,37.80487805,6.097560976,0,0,0,0,0.020209598
16.82414,17.17805,1684.24,0.59818,1.74E-06,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,0.017382033
9.74184,10.18081,1301.04,0.57538,1.65E-06,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,0.016361627
13.58509,14.58188,2747.7,0.70796,1.90E-06,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,0.018988115
21.34032,21.55177,1674.5,0.70852,1.44E-06,40,35,10,15,0,0,0,0.01408117
9.06841,9.51608,600.981,0.48302,8.32E-07,55.07246377,37.68115942,7.246376812,0,0,0,0,0.0081927
15.60159,15.98839,2205.43,0.70816,1.60E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,0.016266128
8.40883,9.02368,482.236,0.52898,2.18E-06,37.5,46.875,6.25,6.25,0,0,3.125,0.02170787
10.67786,11.16226,1488.03,0.59456,1.46E-06,61.9047619,33.33333333,4.761904762,0,0,0,0,0.014881217
35.49808,35.70981,2538.44,0.83738,2.15E-06,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,0.021687223
11.24578,11.69348,1860.91,0.61976,1.54E-06,57.14285714,35.71428571,7.142857143,0,0,0,0,0.015211969
17.10247,17.40167,927.31,0.52224,8.96E-07,51.35135135,40.54054054,8.108108108,0,0,0,0,0.0091021
